"","X","r_stele","radius","CF","OneC","nX","X_size","aerenchyma","TCA","Accession","id","rep","kr1_new","kr2_new","kr3_new","Kr1","Kr2","Kr3","Kx"
"304",304,0.366940161137676,0.654313989547219,12.7,0.0226278605046885,12.1090253175433,0.101511092900948,0.1074,0.921,"PI_629202",304,88,NA,NA,NA,NA,NA,NA,NA
"305",305,0.257310039303227,0.50995997589238,9.9,0.0255201956150659,8.49123129700651,0.08305172163279,0.0822,0.61,"Ames_19962",305,89,0.000143127752692311,5.60519547237632e-05,5.01154487660154e-05,0.00045860608470299,0.00017960016148004,0.00016057856921099,4.10118049755221
"306",306,0.408794190573313,0.791073470821347,13.3,0.028742803026168,13.4902082889193,0.105084500098451,0.0539,1.441,"PI_620829",306,90,0.000125452592625557,5.38848952794967e-05,4.85986269832627e-05,0.000623557245184234,0.000267832781725062,0.00024155759021951,18.7795700370367
"307",307,0.304871262610412,0.601067151671594,10.7,0.0276818587907646,10.0607516661436,0.084184833675161,0.0641,0.844,"Ames_19617",307,91,0.000133106913804056,5.42711779949323e-05,4.88415047489595e-05,0.000502693739784161,0.000204961415219388,0.000184455622756631,4.9882514318773
"308",308,0.340389186918298,0.648940659398959,11.6,0.0265992648690225,11.2328431683038,0.0993047078221118,0.058,0.96,"Ames_19946",308,92,0.000134738320128922,5.52867340600598e-05,4.96152946560868e-05,0.000549383968930735,0.000225426926490335,0.000202302117703023,12.7329094979094
"309",309,0.244626774091784,0.470346011886711,9.4,0.0240126848718008,8.07268354502887,0.0851775239081559,0.0406,0.506,"PI_620839",309,93,0.000160423969838551,6.04803263481382e-05,5.36303945758084e-05,0.000474096330021173,0.000178735763670429,0.000158492357916131,4.88653897123569
"310",310,0.246570858499345,0.498917158449902,9.8,0.0257496224439344,8.13683833047839,0.0820278717117993,0.0298,0.591,"PI_628460",310,94,0.00014267643671624,5.54121223616503e-05,4.9669470200817e-05,0.000447260518594904,0.000173705309400225,0.000155703306808355,3.87347147320284
"311",311,0.29907369997652,0.56221145219615,9.4,0.0279933778957054,9.86943209922514,0.0849968813345199,0.083,0.712,"Ames_19897",311,95,0.000152550879667516,6.07276728064674e-05,5.39734127048307e-05,0.000538882738578552,0.000214519212873604,0.000190659932687383,5.22931448709886
"312",312,0.234664889384407,0.484677930180071,9.3,0.0268831226662004,7.74394134968542,0.0821043108451217,0.0259,0.565,"Ames_19907",312,96,0.000145850767180814,5.62039688356211e-05,5.03427863933873e-05,0.000444162440569349,0.000171159140608189,0.000153309957168945,3.7693874154737
"313",313,0.306433380075047,0.58223708984033,11.2,0.0246253312290432,10.1123015424766,0.0911595182345049,0.0104,0.77,"Ames_19970",313,97,NA,NA,NA,NA,NA,NA,NA
"314",314,0.296937431916069,0.575915706856055,9.8,0.0284671709122435,9.79893525323027,0.0933045916762095,0.0593,0.764,"Ames_19981",314,98,0.00013861816824093,5.61839128798376e-05,5.04020539970818e-05,0.000501601639224436,0.000203306270427603,0.000182384121980843,8.25711673002224
"315",315,0.290981837448471,0.557378191998377,11,0.0242178504136278,9.60240063579954,0.080605223851107,0.067,0.709,"PI_620843",315,99,0.000146562674178346,5.74995387771035e-05,5.13054030635357e-05,0.000513278675239173,0.000201369736570592,0.000179677189057144,4.56339504479407
"316",316,0.244626774091784,0.463529042427827,9,0.0243224742595604,8.07268354502887,0.0794284505983597,0.0459,0.487,"Ames_19688",316,100,0.000159190243154808,6.02696172518706e-05,5.34314889714125e-05,0.000463631851703125,0.000175531575894069,0.000155615945299993,3.49061462527338
"317",317,0.233304501751313,0.43409613292542,8.7,0.0230794978361043,7.69904855779331,0.0680480282434383,0.0155,0.421,"Ames_19879",317,101,0.000164070375192774,6.10623685225487e-05,5.40586582617337e-05,0.000447503005657087,0.000166548003649502,0.000147445338779116,1.67083703497205
"318",318,0.344109397808851,0.602125369307205,10.7,0.0241136421961078,11.3556101276921,0.105357976229255,0.0824,0.767,"PI_620849",318,102,0.000155828579652383,6.15371964461531e-05,5.44756681136882e-05,0.000589540854019422,0.000232811538343963,0.000206095903425833,18.6359307192729
