"","X","r_stele","radius","CF","OneC","nX","X_size","aerenchyma","TCA","Accession","id","rep","Trt","Roottype"
"94",94,0.575372825380645,0.90272667468295,NA,0.0507515684134304,12,0.240196889837303,0.228424798890879,4.77552219194019,"PM","PM-WW-CR3-2.tif",94,"non-sheltered","CR3"
"95",95,0.589699908534398,1.02167812431252,NA,0.0582675828367797,12,0.24036345368084,0.253638878943669,6.87003628017637,"PM","PM-WW-CR3-3.tif",95,"non-sheltered","CR3"
"96",96,0.727885144788271,1.48268105064964,11,0.0784859395091985,15,0.232398903324119,0.0465373086583716,16.4676946515148,"PM","PM-WW-CR3-4.tif",96,"non-sheltered","CR3"
"97",97,0.590857722599314,1.30258597133697,11,0.0931171697801722,14,0.263443114482815,0.0971298752156292,13.3004502703571,"PM","PM-WW-CR3-6.tif",97,"non-sheltered","CR3"
"98",98,0.656569534594377,1.23432859689794,10,0.0848019994722268,14,0.29087999872573,0.265253244026777,10.7823802692535,"PM","PM-WW-CR3-8.tif",98,"non-sheltered","CR3"
"99",99,0.641679768631706,1.28393680364405,12,0.0998901056545829,14,0.260613175451245,0.205883063441209,12.2061423467588,"PM","PM-WW-CR3-9.tif",99,"non-sheltered","CR3"
"100",100,0.310243856074815,0.718046581185955,8,0.102369499351887,8,0.173187519025709,0.0273086391670831,4.13871638137322,"PM","PM-WW-CR5-1.tif",100,"non-sheltered","CR5"
"101",101,0.310034885645023,0.677474233948659,7,0.0684167189672189,8,0.171825860106663,NA,3.58118306856988,"PM","PM-WW-CR5-2.tif",101,"non-sheltered","CR5"
"102",102,0.377860343301575,0.82699309296582,8,0.0885253622351757,8,0.195781015627751,0.0475861919175586,5.34082920589837,"PM","PM-WW-CR5-3.tif",102,"non-sheltered","CR5"
"103",103,0.342058768493408,0.736111555301669,7,0.0627757410910705,8,0.173954424823838,0.0543961129595066,4.19316085217826,"PM","PM-WW-CR5-4.tif",103,"non-sheltered","CR5"
"104",104,0.394266679193508,0.743067068304428,8,0.077086303780678,8,0.201509580298973,0.17102062277719,3.91529628272617,"PM","PM-WW-CR5-6.tif",104,"non-sheltered","CR5"
"105",105,0.319327962900077,0.857308267327514,9,0.0656221146379854,6,0.145147458967173,0.0175894690235908,6.24752983120189,"PM","PM-WW-SR-1.tif",105,"non-sheltered","SR"
"106",106,0.322393611970563,0.837143380413682,11,0.0808311353315418,6,0.163012593005346,NA,5.8908845798522,"PM","PM-WW-SR-2.tif",106,"non-sheltered","SR"
"107",107,0.308988089019837,0.745157076426752,9,0.0587302029054637,6,0.157607343609925,0.0150505819361059,4.53790029749128,"PM","PM-WW-SR-3.tif",107,"non-sheltered","SR"
"108",108,0.314657695586062,0.789916610164791,11,0.0607474073458811,5,0.151881778335623,NA,5.18113554097237,"PM","PM-WW-SR-4.tif",108,"non-sheltered","SR"
"109",109,0.297229719730163,0.856173726212471,9,0.0704213580635389,5,0.161864298407376,NA,6.3628149611972,"PM","PM-WW-SR-5.tif",109,"non-sheltered","SR"
"110",110,0.336895090336152,0.919332683977702,10,0.073645625358938,5,0.177562935958362,NA,7.22133571316972,"PM","PM-WW-SR-6.tif",110,"non-sheltered","SR"
"111",111,0.287962102960739,0.734192661087543,NA,0.0673401202849516,5,0.157894127887733,NA,4.50169129945541,"PM","PM-WW-SR-7.tif",111,"non-sheltered","SR"
"112",112,1.38461127048401,2.24319876011102,NA,0.0681094783535453,31,0.170316066414078,0.0831427841209147,30.7417678617675,"BS","BS-DS-CR1-3.tif",112,"sheltered","CR1"
"113",113,1.27564349099538,2.07873174007941,NA,NA,34,0.163428151861339,NA,26.587325910088,"BS","BS-DS-CR1-4.tif",113,"sheltered","CR1"
"114",114,0.642556970470748,1.04237154417149,NA,0.07425500864668,18,0.199305760536449,0.0484723958060161,6.64874759236839,"BS","BS-DS-CR2-1.tif",114,"sheltered","CR2"
"115",115,0.642432827816469,1.09520253797339,14,0.0723384705629745,18,0.212172071598277,0.066972409491538,7.76489804643708,"BS","BS-DS-CR2-3.tif",115,"sheltered","CR2"
"116",116,0.618269186301511,0.943187639891224,NA,0.050745106236466,16,0.202704125560289,0.213710538237419,5.00730566970644,"BS","BS-DS-CR2-4.tif",116,"sheltered","CR2"
