"","Accession","Kr1","kr1","Kr2","kr2","Kr3","kr3","Kx","n"
"50","PI_390842",0.000523686029816409,0.000125709823676321,0.000218779288081971,5.25175470853356e-05,0.000198054083333437,4.75425015690225e-05,8.1302326771674,3
"51","PI_401754",0.000504798029887653,0.0001708127627093,0.000193271886591805,6.53990367397674e-05,0.000169630712171056,5.73993733547903e-05,5.82397162675394,2
"52","PI_401755",0.000465657059209576,0.000162061022356935,0.000174537198311744,6.0743579933545e-05,0.000154572226878749,5.37952396952366e-05,5.23880638444655,3
"53","PI_401757",0.000474018735022415,0.000136617967655314,0.00019135224256822,5.51500448283351e-05,0.000171742084091107,4.94981585238517e-05,4.29289968440767,3
"54","PI_438943",0.000506796684962788,0.000162501866282934,0.00019382693441099,6.21496539189049e-05,0.000171424569142272,5.49664455962501e-05,9.47114825506926,3
"55","PI_443781",0.000505570127224789,0.000152903295722008,0.000200768155604437,6.07197914094679e-05,0.000178088090448317,5.38604923274659e-05,6.65742269293801,3
"56","PI_443963",0.000456555822025956,0.000169404535686962,0.000170183041929786,6.31462305572594e-05,0.000150206966144139,5.57341296047437e-05,2.75862341840618,3
"57","PI_444005",0.000616868765536118,0.000150495025587068,0.000253178293883628,6.17669039913094e-05,0.000224499256339201,5.4770192972378e-05,13.1253383539551,3
"58","PI_444095",0.000511156022448885,0.000150743294646021,0.000205130517397628,6.04943474534795e-05,0.000182636197006586,5.38606234677509e-05,2.87346975614956,3
"59","PI_444125",0.000425623916190979,0.000133571994517289,0.000169684152005775,5.32513558547692e-05,0.000152707467575336,4.79236251671759e-05,2.79692594416868,3
"60","PI_444165",0.000486067781420715,0.000137185799644494,0.000195597511109129,5.520464839605e-05,0.000175418556732256,4.95094221375026e-05,3.38519378303799,3
"61","PI_444173",0.000505670500356065,0.000148719793231606,0.000199931627260728,5.88007215088423e-05,0.00017823417109021,5.24194095812945e-05,3.33784183440105,3
"62","PI_444266",0.000516434398509925,0.000131465272665694,0.000214333687945481,5.4561502503507e-05,0.000192753290311053,4.90679240985247e-05,5.9715214585316,3
"63","PI_444408",0.000475642273175544,0.000145620215319065,0.000184689752300724,5.65436737102852e-05,0.000165222145150229,5.05835702777716e-05,2.20791519052902,2
"64","PI_444498",0.000505119308984832,0.000120127375729098,0.000218771860454384,5.20282812640345e-05,0.000197918671695515,4.70689799729771e-05,11.2610051604136,2
"65","PI_444499",0.000513505090485524,0.000139518063858453,0.000207245570360911,5.63081092198253e-05,0.00018521027070694,5.03211727683168e-05,8.62036440008415,1
"66","PI_444642",0.000571167454946726,0.0001604827121743,0.000225863173093129,6.34614845162345e-05,0.000200434218736811,5.63166314131478e-05,6.10623133202382,2
"67","PI_444897",0.0005818311939052,0.000165292676496477,0.000223827870668648,6.35873569600261e-05,0.000197571145342484,5.61280724619496e-05,6.91171677775071,2
"68","PI_444954",0.000494714435990507,0.00014348420085848,0.000199946848142803,5.79914626151972e-05,0.000178456569873581,5.17585428146826e-05,6.58818601527806,2
"69","PI_445067",0.000466593785780113,0.000137676849888264,0.000187381425478929,5.5290244263281e-05,0.000168137644001137,4.96120220182699e-05,3.68558337537694,2
"70","PI_445082",0.000465755454875391,0.000138803051257812,0.000185921591154952,5.54077979696858e-05,0.000166732575512798,4.96891447711367e-05,4.80142901369577,2
"71","PI_445251",0.000374355135490289,0.000155873583722741,0.000137162694956096,5.71116535849698e-05,0.000122317091357512,5.09302573222799e-05,1.41531709501127,2
"72","PI_445298",0.000444934066033178,0.000137273778432288,0.000173722300959062,5.3597866450674e-05,0.000156154817197845,4.81778389509808e-05,2.18106126183287,2
"73","PI_445355",0.000496808399687054,0.000136899971159349,0.00020656417971922,5.69205960767346e-05,0.000185157408793467,5.10217700419969e-05,5.20670700575607,2
"74","PI_467154",0.000542294935774392,0.000162798449747409,0.000209125277198785,6.27799905273743e-05,0.000184849956384211,5.54924716238642e-05,8.46204555872107,3
"75","PI_467167",0.000459549987758191,0.000136725015409347,0.000188852843589695,5.61873759933307e-05,0.000169014284228151,5.02850206312115e-05,4.15323939065153,3
"76","PI_467168",0.000521169547942811,0.000154287654034882,0.000201748773050616,5.97259471917787e-05,0.000179334036962518,5.30902620092989e-05,7.12977220581489,2
"77","PI_467171",0.000520590915388144,0.000145766804074181,0.000210449262743133,5.89263384032779e-05,0.000187311950970574,5.24478312064337e-05,5.7908293412852,2
"78","PI_467177",0.000563825555499773,0.000149889299237434,0.000222294077654852,5.90954120459884e-05,0.000197957857329164,5.26257886400897e-05,12.8185827330607,1
"79","PI_467216",0.000512255697658061,0.000137219582156541,0.000207083067475793,5.54720076724087e-05,0.000185782300045654,4.97661025556082e-05,6.47764394176773,2
"80","PI_467225",0.000564322013601182,0.000133309867631961,0.000235006843450679,5.55156992602375e-05,0.000210800301272123,4.97973844401971e-05,9.43650414269304,2
"81","PI_467230",0.000519462603751709,0.000155504468475,0.000200258196823549,5.99485780687551e-05,0.000178002491427645,5.32861896443893e-05,4.55665048785127,3
